addr,amount,id,lat,lng,name,notice,tel,testkit,updatedAt,max
新北市貢寮區仁愛路128號,740,2331260016,25.02258,121.9095,新北市貢寮區衛生所,快篩試劑販售時間為周一至周五早上9點開始販售，每日販售一箱，數量有限售完為止;,(02)24901431,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
新竹縣峨眉鄉峨眉村峨眉街2鄰5號,979,2333120015,24.68842,121.0214,新竹縣峨眉鄉衛生所,本所4月14日(五)下午眼科門診，快篩試劑販賣及領取時間為上班日中午12至13時,(03)5800314,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
新竹縣五峰鄉大隘村六鄰99號,632,2333140017,24.63184,121.1194,新竹縣五峰鄉衛生所,無,(03)5851005,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
苗栗縣南庄鄉東村大同路17號,624,2335110017,24.59733,121,苗栗縣南庄鄉衛生所,無,(037)822024,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
嘉義縣大埔鄉大埔村53－1號,432,2340170016,23.29397,120.5928,嘉義縣大埔鄉衛生所,無,(05)2521214,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺南市南化區南化里226－1號,911,2341250013,23.0444,120.4793,臺南市南化區衛生所,無,(06)5771139,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
高雄市田寮區南安里崗北路32號,543,2342130010,22.87301,120.3594,高雄市田寮區衛生所,巡迴醫療:每星期一、四下午及每月第一個有上班的星期三下午巡迴醫療,(07)6361504,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
高雄市茂林區茂林里茂林巷8－4號,1095,2342250017,22.88641,120.6641,高雄市茂林區衛生所,夜間急診，請先撥電話07-6801046,(07)6801046,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
高雄市桃源區桃源里南進巷188－1號,714,2342260013,23.15845,120.7642,高雄市桃源區衛生所,IDS提供24小時服務,(07)6861126,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
高雄市那瑪夏區瑪雅里6鄰平和巷252號,571,2342270019,23.24708,120.7024,高雄市那瑪夏區衛生所,春節期間正常門診,(07)6701142,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
澎湖縣馬公市西文里118之2號,701,2344011036,23.56813,119.5836,澎湖縣馬公市第三衛生所,無,(06)9211723,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
澎湖縣白沙鄉鳥嶼村漁港新村3號,596,2344030022,23.66008,119.6599,澎湖縣白沙鄉鳥嶼衛生所,提供急診服務,(06)9916092,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
澎湖縣白沙鄉吉貝村8－13號,675,2344030031,23.74056,119.6138,澎湖縣白沙鄉吉貝衛生所,無,(06)9911430,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
澎湖縣望安鄉西安村36－7號,528,2344050015,23.36161,119.4972,澎湖縣望安鄉衛生所,夜間急診;快篩試劑販售時間為:每日08:00-12:00、13:30-17:30售完為止，如有餘數為離島未售出(東嶼坪、花嶼);,(06)9991036,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
澎湖縣望安鄉將軍村12鄰將軍澳1之3號,478,2344050024,23.3615,119.5216,澎湖縣望安鄉將軍衛生所,無,(06)9902066,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
澎湖縣七美鄉中和村埔內54號,844,2344060011,23.2041,119.431,澎湖縣七美鄉衛生所,國定假日只有上午和下午診,(06)9971005,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
花蓮縣豐濱鄉豐濱村光豐路41號,510,2345080017,23.60195,121.5215,衛生福利部花蓮醫院豐濱原住民分院,*本院口罩每天販售，時間自上午8點至晚上9點  *本院週一至週五上下午皆有門診，星期六隔週提供門診，及24小時急診;,(03)8358141,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
花蓮縣富里鄉富里村中山路203號,724,2345100014,23.17847,121.2491,花蓮縣富里鄉衛生所,無,(03)8831029,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
花蓮縣秀林鄉秀林村12鄰秀林路88號,748,2345110010,24.1269,121.6334,花蓮縣秀林鄉衛生所,國定假日休診,(03)8612122,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
花蓮縣萬榮鄉萬榮村1鄰16號,518,2345120016,23.71558,121.4092,花蓮縣萬榮鄉衛生所,無,(03)8751651,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
花蓮縣卓溪鄉卓溪村中正路65號,632,2345130012,23.33294,121.3033,花蓮縣卓溪鄉衛生所,快篩試劑代售時間:週一至週五上午8:30-11:00(售完即結束)，另巡迴醫療時段少量販售;,(03)8882592,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺東縣綠島鄉中寮村1－1號,414,2346110014,22.67319,121.4696,台東縣綠島鄉衛生所,家用快篩實名制，販售時段為08:30至12:00(周一至周五，遇國定假日暫停),(089)672511,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺東縣海端鄉海端村3鄰29號,678,2346130016,23.10094,121.1767,臺東縣海端鄉衛生所,星期一至星期五家用快篩試劑販售時間上午8點~9點(售完為止),(089)931391,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺東縣金峰鄉賓茂村1鄰14號,718,2346150018,22.53248,120.9606,台東縣金峰鄉衛生所,無,(089)772201,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺東縣蘭嶼鄉紅頭村36號,500,2346160014,22.02493,121.5546,台東縣蘭嶼鄉衛生所,販售快篩時間 星期一至星期五 8:30~12:00 13:30~17:30,(089)732575,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
金門縣烈嶼鄉西口村西方6－5號,727,2390050032,24.43519,118.2395,金門縣烈嶼鄉衛生所,門診時間:周一至周五上午8點至12點,(082)362078,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
連江縣莒光鄉青帆村14－1號,596,2391030016,25.97157,119.9331,連江縣莒光鄉西莒衛生所,無,(083)689122,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
連江縣莒光鄉大坪村30－1號,609,2391030026,25.96113,119.9731,連江縣莒光鄉東莒衛生所,無,(083)689038,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市松山區南京東路4段133巷5弄1號,546,5901010076,25.05214,121.5552,榮星藥局,無,(02)27124696,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市松山區八德路2段437巷7弄8號1樓,478,5901010165,25.04914,121.5473,傑安藥局,9:30開始發號碼牌,(02)27524155,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市松山區敦化北路222巷38號,574,5901011975,25.05994,121.5471,萬泰藥局,每日早上9.00販售快篩試劑,(02)27135891,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市松山區民生東路5段73號,468,5901012409,25.05871,121.5585,家音藥局,無,(02)37652080,羅氏家用新冠病毒抗原自我檢測套組,1677894302,0
臺北市松山區民生東路3段130巷34號,537,5901012516,25.0562,121.5461,惠登藥局,無,(02)25472432,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市松山區延吉街9－6號,609,5901012561,25.04701,121.5536,松田藥局,無,(02)25798005,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市松山區八德路四段2－1號,744,5901012712,25.04812,121.5581,立康大藥局,無,(02)27471749,羅氏家用新冠病毒抗原自我檢測套組,1679500352,0
臺北市松山區八德路四段666－1號,522,5901012749,25.04979,121.5761,躍獅松和藥局,實名制快篩販售/發放時段，13:00~21:30,(02)27492569,羅氏家用新冠病毒抗原自我檢測套組,1680191552,0
臺北市松山區八德路4段91巷1－1號,471,5901012767,25.04894,121.5608,晨新藥局,無,(02)27422951,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市松山區延壽街428號,476,5901012963,25.0562,121.5562,綠之家藥局,禮拜日不販售快篩,(02)25289595,羅氏家用新冠病毒抗原自我檢測套組,1678290752,0
臺北市松山區南京東路5段291巷17－2號,2387,5901013095,25.05236,121.5663,康采藥局,2/12公休，2/26公休,(02)27670271,羅氏家用新冠病毒抗原自我檢測套組,1677033632,0
臺北市松山區八德路4段209號、211號(1、2層),590,5901013362,25.04894,121.564,啄木鳥藥局,無,(02)27422413,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
臺北市松山區饒河街204號,617,5901013451,25.05074,121.577,新德大藥局,周一至周六上午九點開賣;快篩實名制(周日休息),(02)27673402,羅氏家用新冠病毒抗原自我檢測套組,1680255752,0
臺北市松山區民生東路4段80巷5號1樓,629,5901013620,25.05713,121.5531,躍獅敦北藥局,實名制快篩販售時間PM14:30 本店會預留28份供及人大廈住戶購買 剩餘數量供現場民眾排隊購買(14:30開始販購),(02)27155691,羅氏家用新冠病毒抗原自我檢測套組,1660233332,0
臺北市松山區民生東路5段204號1樓,527,5901013693,25.05826,121.5648,民生盛康藥局,無,(02)27460758,羅氏家用新冠病毒抗原自我檢測套組,1677635162,0
臺北市大安區大安路1段224巷7號1Ｆ,436,5901020616,25.03401,121.5454,龍護大藥局,無,(02)23250686,羅氏家用新冠病毒抗原自我檢測套組,1677573572,0
臺北市大安區瑞安街208巷11弄5號1樓,1107,5901020732,25.02866,121.5408,赫慶藥局,快篩代售時間:星期一至六上午9點開始，不發號碼牌，星期日停售,(02)27063497,羅氏家用新冠病毒抗原自我檢測套組,1682783552,0
